carpet_area,bedrooms,bathrooms,car_parking,furnishing,transaction_type,floor,total_floors,facing,overlooking,price,lat,long
959,3,3,2,1,1,15,22,East,Garden/Park,2.66,19.1296705,72.931658
712,2,2,2,1,1,6,22,East,"Garden/Park, Main Road",2.09,19.129887,72.836147
648.0,3,2,0,3,0,2,4,,,3.0,19.0996429,72.8510881
490,1,2,0,3,0,2,17,,Garden/Park,0.78,19.060678,72.878616
1350,3,3,0,3,0,1,18,East,,6.2,19.14413070678711,72.8240966796875
1750,4,4,0,1,0,22,40,North - East,"Pool, Garden/Park, Main Road",4.3,19.17603669,72.86795229
750,2,2,0,1,1,11,22,West,"Garden/Park, Main Road",1.15,19.27584635,72.87033299
710,2,2,0,1,0,7,14,North - East,Main Road,0.75,19.28301132,72.87943481
1140,3,3,2,1,0,35,60,North - East,Garden/Park,4.0,18.973263,72.832355
2150,4,4,4,1,0,30,51,East,"Garden/Park, Pool, Main Road",8.5,19.17167384,72.86478709
670,2,2,1,2,1,9,14,East,Garden/Park,0.738,19.287996,72.833538
975,2,2,0,1,1,,,,,4.5,19.006594,72.8287
930,2,2,1,1,1,,,,,2.9,19.0038320445835,72.8505157603601
1100,3,3,1,1,1,,,,,3.9,19.0038320445835,72.8505157603601
1338,3,4,2,1,0,,,West,"Garden/Park, Pool, Main Road",3.45,19.1700134,72.8646545
1350,3,3,2,1,0,,,East,"Garden/Park, Pool, Main Road",4.76,19.129387,72.827935
994,3,2,0,2,1,,,West,"Garden/Park, Main Road",2.05,19.22047973,72.86228457
457,1,1,2,1,1,4,23,East,"Garden/Park, Main Road",0.88,19.203436,72.8210452
980,3,3,1,1,1,41,42,North - East,"Garden/Park, Main Road",2.5,19.169705,72.853001
751,2,2,1,1,1,30,63,East,"Garden/Park, Main Road",3.35,18.982164,72.827559
490,2,2,0,2,0,1,7,South,,1.26,19.2500595,72.8492066
1239,3,3,2,1,1,5,21,East,"Garden/Park, Main Road",3.62,19.11001205444336,72.89788818359375
655,2,2,0,1,0,16,20,East,Main Road,1.05,19.27584635,72.87033299
965,3,3,2,1,1,7,22,East,"Garden/Park, Main Road",2.88,19.129887,72.836147
838,2,2,0,1,1,11,14,East,Garden/Park,4.25,19.0787080118698,72.8402855073601
1000,3,3,0,1,0,14,18,North,"Garden/Park, Main Road",3.81,19.1288297,72.8376551
1175,2,2,1,1,0,19,21,North,Garden/Park,2.3,19.194356,72.830819
576,2,2,0,3,1,,,,,1.38,19.176153,72.871249
618,2,2,0,3,1,,,,,1.48,19.176153,72.871249
978,3,3,2,1,0,,,North,"Garden/Park, Pool, Main Road",2.95,19.129887,72.836147
1250,3,3,2,1,0,,,East,Main Road,3.0,19.183975,72.8541495773243
645,2,2,1,1,1,10,22,East,"Garden/Park, Pool, Main Road",1.61,19.1126011,72.8999847
305,1,2,1,1,0,,,,"Garden/Park, Main Road",0.485,19.2022762298584,72.82337188720703
1400,3,3,1,1,0,21,51,East,"Garden/Park, Main Road",3.25,19.205736,72.872531
912,2,2,1,1,0,17,41,,,2.6,19.183975,72.8541495773243
1850,3,3,1,1,0,11,39,East,"Garden/Park, Pool, Main Road",3.25,19.17603669,72.86795229
712.0,2,2,1,2,1,,,,,0.35600000000000004,19.396594,72.846929
782,3,2,2,1,0,36,43,,,2.4,19.1595755,72.9465747
709,2,2,1,2,1,9,20,West,,3.3,19.019712,72.847602
1789,4,4,2,1,1,10,18,,Garden/Park,10.0,19.09882164001465,72.83206939697266
439,1,1,0,1,1,,,,,0.39299999999999996,19.438447,72.793821
890,3,3,0,1,0,12,14,North - East,Main Road,0.9,19.2734818,72.8814989
380,1,1,0,2,1,0,4,East,Main Road,0.35,72.85830688476562,19.284196853637695
732,2,2,1,2,1,1,33,East,"Garden/Park, Main Road",3.14,19.02617835998535,72.84387969970703
570,2,1,0,1,0,3,10,South,,0.415,19.4273612,72.8163194
1400,4,4,0,1,1,,,East,,7.05,19.129387,72.827935
650,2,2,1,2,0,2,7,East,Garden/Park,1.35,19.1697868915595,72.8696727139396
1100,3,3,2,3,0,5,6,East,"Garden/Park, Main Road",2.8,19.291606903076172,72.87789154052734
1400,3,3,2,2,0,2,21,North,"Garden/Park, Main Road",9.0,18.9722291,72.8150811
305,1,2,1,1,0,,,West,"Garden/Park, Main Road",0.52,19.20237922668457,72.82405090332031
225,,2,1,1,0,,,North,Main Road,0.376,19.20167350769043,72.82699584960938
892,2,2,0,1,0,23,75,,,4.1,19.016666412353516,72.81666564941406
545,1,2,0,1,0,14,15,,,1.15,19.0891767514315,72.9174748550923
750,2,2,0,1,0,5,15,East,Garden/Park,1.7,19.079069137573242,72.90797424316406
490,1,2,0,2,0,7,7,East,Main Road,0.39,19.399539947509766,72.86042022705078
428,1,1,2,1,1,2,39,East,"Garden/Park, Main Road",0.88,19.207601,72.879171
762,3,3,1,2,0,9,17,North - West,Garden/Park,2.25,19.1605,72.94767
507.2,2,2,0,1,1,,,,,2.99,19.027746,72.84107
395,1,2,1,2,1,4,27,East,Main Road,0.7,19.2003119,72.863792
366,1,1,0,1,1,10,15,East,Main Road,0.76,19.122851,72.870103
310,1,1,0,1,0,3,9,West,"Garden/Park, Main Road",0.205,19.462137,72.815763
405,1,1,0,1,1,2,4,,,0.2,19.459598541259766,72.81642150878906
1000,3,4,2,2,0,70,72,,"Garden/Park, Main Road",4.65,19.0708648,72.809743
1850,3,3,1,1,0,11,40,East,"Garden/Park, Pool, Main Road",3.35,19.17603669,72.86795229
873,2,2,1,1,0,,,East,Garden/Park,2.2,19.11721627,72.89304604
537,2,2,2,1,1,7,53,East,"Garden/Park, Pool, Main Road",1.44,19.133092,72.93475
508,2,2,0,1,0,2,2,East,,1.95,19.019546508789062,72.8382568359375
798,2,2,0,2,1,1,20,South -West,Garden/Park,0.65,19.179384231567383,72.86117553710938
700,2,2,1,2,0,15,16,North,Main Road,2.45,19.039152145385742,72.84046936035156
1287,3,3,2,2,1,3,12,East,Main Road,5.0,19.0165788599822,72.8176624505101
430,1,1,0,1,0,4,4,East,Main Road,0.42,19.2919921875,72.8782958984375
510,2,1,1,2,0,0,5,North - East,Main Road,0.48,19.468660354614258,72.79667663574219
300,1,1,0,1,0,4,7,East,Main Road,0.75,19.147958755493164,72.84231567382812
1050,3,3,0,3,0,5,7,South,,5.2,19.02836036682129,72.83828735351562
1600,3,4,0,1,0,30,78,,,7.5,19.016666412353516,72.81666564941406
575,1,1,0,1,1,3,7,,,0.285,19.459598541259766,72.81642150878906
496,1,2,1,2,1,8,21,East,"Garden/Park, Main Road",1.04,19.162752,72.834499
575,2,2,0,2,0,11,16,,,4.0,18.957151412963867,72.79988098144531
1709,3,3,0,2,0,18,65,,,7.9,18.98447036743164,72.8199691772461
850,2,2,0,2,0,2,12,,,4.6,18.950754165649414,72.80206298828125
970,2,2,0,2,0,2,24,,,4.55,18.99842071533203,72.84268951416016
1250,3,3,0,2,0,1,9,,,10.5,18.957151412963867,72.79988098144531
1720,5,4,0,3,0,8,30,East,"Garden/Park, Pool",10.0,19.138865,72.834731
2201,4,3,0,1,0,20,30,East,"Garden/Park, Pool",7.7,19.1547839,72.8540607
981,3,2,0,1,0,,,West,"Garden/Park, Pool",2.75,19.169705,72.853001
427,1,1,0,1,0,1,10,North,Main Road,1.18,19.186983,72.8323058
777,2,2,2,1,1,4,21,East,"Garden/Park, Main Road",2.22,19.110012,72.897886
387,2,2,0,1,0,5,7,,,0.2,19.2781608746567,73.1869663138974
1153,3,3,1,1,1,11,42,East,"Garden/Park, Main Road",2.61,19.216866,72.86649054
732,2,2,1,1,0,5,40,North,Main Road,1.7,19.160486,72.945419
1950,4,6,3,1,1,25,68,West,"Garden/Park, Pool, Main Road",8.75,19.010207,72.830895
2470,5,7,4,1,1,27,68,West,"Garden/Park, Pool, Main Road",12.75,19.010207,72.830895
1335,3,5,2,1,1,32,65,West,"Garden/Park, Pool, Main Road",5.92,19.010207,72.830895
845,3,3,0,1,1,27,29,,Garden/Park,2.5,19.214379,72.87259
2102.4,3,3,5,2,0,43,43,South,"Garden/Park, Pool, Main Road",4.5,18.95789,72.818856
5661,5,6,4,2,0,44,85,North - East,"Garden/Park, Pool, Main Road",36.0,18.999216,72.817199
736.0,2,2,1,2,0,6,17,East,Main Road,1.4,19.0583541,72.8802798
534,2,1,1,2,0,,,North,Garden/Park,1.19,19.198348999023438,72.8770751953125
351,1,1,1,1,1,2,23,East,,0.75,19.114796,72.939413
420,1,1,0,1,1,0,5,,,0.2,19.459598541259766,72.81642150878906
923,2,2,0,1,1,6,6,North,"Garden/Park, Pool",1.65,19.115489959716797,72.87269592285156
700,2,2,1,2,0,7,15,East,Garden/Park,1.77,19.13050078,72.83436549
560,2,2,1,1,1,4,23,North,,1.18,19.114796,72.939413
1050,3,3,2,2,0,6,43,East,"Garden/Park, Main Road",2.27,19.160486,72.945419
1800,3,4,1,3,0,2,6,East,Main Road,10.5,18.97472381591797,72.8087158203125
1960,3,3,2,1,1,8,18,East,"Garden/Park, Main Road",8.38,19.120471,72.82818
1450,3,3,0,1,0,1,35,West,"Garden/Park, Pool",15.0,19.0126572,72.8276659
900,2,2,0,1,0,16,22,East,,2.5,19.1732342730809,72.8460595546961
1350,3,3,1,1,0,4,5,East,Main Road,4.25,19.0694134598642,72.8320332636054
382,1,1,0,1,0,15,16,East,Main Road,0.68,19.032798767089844,72.89635467529297
1120,3,3,0,2,1,11,12,East,Main Road,1.65,19.180917739868164,72.86254119873047
1250,3,3,1,2,0,7,7,North,Main Road,3.0,19.17655196,72.83785151
742,2,2,1,1,0,,,East,"Garden/Park, Pool, Main Road",1.9,19.181124,72.839798
440,1,2,1,2,0,5,13,North,Main Road,1.2,19.186983,72.8323058
960,3,3,1,2,0,,,East,,2.36,19.179115,72.9576249
419.2,1,1,0,1,0,3,7,,,1.22,19.0505025,72.8862431
1710,4,4,0,1,0,16,41,East,"Pool, Garden/Park, Main Road",4.4,19.183975,72.8541495773243
1054,3,3,1,1,1,9,12,East,Main Road,2.6,19.109125,72.862958
1300,3,3,0,1,1,,,,,3.3,19.03731,72.87871
240,,1,1,2,0,,,East,Main Road,0.37,19.200733184814453,72.82662200927734
467,1,2,1,1,1,6,20,East,Garden/Park,1.92,19.0437983,72.8622573
680,2,2,0,1,0,1,14,East,Main Road,0.8,19.28301132,72.87943481
1000,3,3,1,1,1,,,East,"Garden/Park, Pool, Main Road",3.86,19.055530548095703,72.89689636230469
1350,3,3,0,2,0,4,5,East,Main Road,1.4,19.29175567626953,72.87806701660156
485,1,2,1,2,0,2,3,South,Main Road,1.0,19.180028915405273,72.94804382324219
850,2,2,1,2,0,3,10,West,"Garden/Park, Main Road",2.4,19.1766244851464,72.8676068236557
635,2,2,1,1,1,5,10,North,Main Road,1.71,19.0800605649896,72.8501084415845
605,2,2,1,1,1,14,21,West,,1.9,19.19648334,72.8336764
850,3,3,1,2,1,11,14,East,Garden/Park,0.9179999999999999,19.283522,72.878571
440.0,1,1,0,2,0,7,7,East,Garden/Park,0.48,19.292062790153,72.8766429633586
415,1,2,1,2,0,7,7,East,"Garden/Park, Main Road",0.3,19.4591559,72.8062949
500,1,1,1,2,0,18,25,,"Garden/Park, Pool, Main Road",2.75,18.9947981,72.824327
680,2,2,0,1,1,20,74,East,,5.25,18.9686526787199,72.8195509944976
412,1,2,0,1,1,,,,,1.75,18.9548,72.822548
1418,4,4,0,1,1,9,14,East,Garden/Park,3.6,19.0637822,72.892005
312.0,1,1,0,1,0,4,4,,,0.42,19.282169342041016,72.87654113769531
1163,3,3,1,1,0,18,23,East,Garden/Park,3.65,19.122307,72.8959927
630,2,2,1,1,0,3,7,East,Garden/Park,1.55,19.1181,72.8948491
710,2,2,1,1,0,2,14,East,Garden/Park,1.45,19.116764,72.904323
800,2,2,1,2,0,5,16,East,"Garden/Park, Pool, Main Road",1.9,19.07023,72.876903
750,2,2,2,1,1,7,30,East,"Garden/Park, Main Road",1.95,19.0374763,72.907209
1408,3,2,1,2,0,,,North - East,"Garden/Park, Pool, Main Road",3.1,19.03792381286621,72.8781509399414
460,1,1,0,1,0,6,14,,,1.25,19.14413070678711,72.8240966796875
720,2,2,0,2,0,11,22,,,4.4,19.016666412353516,72.81666564941406
1161,3,3,0,2,0,3,6,,,5.8,18.957151412963867,72.79988098144531
386,1,2,0,1,0,11,24,,,0.85,19.241031760733826,72.86373
300,1,1,0,3,0,7,7,,,1.1,18.971336364746094,72.81462097167969
688,2,2,2,1,1,10,23,East,"Garden/Park, Pool, Main Road",1.34,19.202228,72.815271
890,3,3,2,1,1,22,23,East,"Garden/Park, Main Road",1.78,19.202228,72.815271
371,1,2,2,1,1,7,22,East,"Garden/Park, Main Road",0.71,19.224715,72.866134
677,2,2,1,2,0,,,East,Garden/Park,1.75,19.111263,72.8956507
960,3,3,1,2,0,,,East,Garden/Park,2.35,19.179115,72.9576249
732,2,2,1,1,1,20,27,East,"Garden/Park, Pool, Main Road",1.85,19.157011,72.950306
1080,3,3,2,1,1,20,27,East,"Garden/Park, Pool, Main Road",3.1,19.157011,72.950306
1700,4,4,2,2,0,30,45,North - East,Main Road,4.6,19.17100978,72.87098943
560.0,2,2,0,3,0,1,56,,,3.6,19.0025447248918,72.8403241230121
422,1,2,2,1,1,6,22,East,"Garden/Park, Pool, Main Road",0.81,19.180916,72.857442
205,1,1,0,2,0,0,4,,,0.25,19.282169342041016,72.87654113769531
1200,3,3,1,1,0,17,25,North,Main Road,3.1,19.1738042,72.873797
430,1,2,0,2,0,12,14,,Main Road,0.7,19.27729966,72.87697691
1650,4,5,0,3,0,30,70,,,14.5,19.016666412353516,72.81666564941406
661,2,2,0,1,0,2,20,West,"Garden/Park, Main Road",1.4,19.20678417,72.81912281
850,2,2,0,2,0,6,7,,,0.7,19.459598541259766,72.81642150878906
679,2,2,1,2,1,9,21,East,Main Road,1.42,19.162752,72.834499
950,3,3,1,1,1,5,21,East,"Garden/Park, Main Road",2.1,19.22047973,72.86228457
384.0,1,1,0,1,0,6,6,West,Main Road,1.05,19.069320678710938,72.8746109008789
1250,3,3,0,1,0,8,52,East,Garden/Park,3.2,19.2248756,72.863143
810,2,2,0,1,1,1,54,East,"Garden/Park, Main Road",2.8,19.18897247314453,72.82200622558594
738,2,2,0,2,0,,,West,"Garden/Park, Pool, Main Road",2.45,19.17450806,72.83458096
900,3,2,0,3,0,3,7,North - East,Main Road,1.25,19.282169342041016,72.87654113769531
533.6,2,2,0,1,1,,,,,3.17,19.027746,72.84107
428,1,2,1,1,1,11,22,East,"Garden/Park, Pool, Main Road",1.06,19.1126011,72.8999847
612,2,2,1,1,1,10,22,East,"Garden/Park, Pool, Main Road",1.53,19.1126011,72.8999847
480.0,1,2,1,2,1,,,,,0.24,19.396594,72.846929
400,1,2,1,2,0,2,7,South,,1.1,19.1176329281073,72.902562944611
450,1,2,1,2,1,9,11,East,"Garden/Park, Main Road",1.07,9.20913827907246,72.8603481574154
2100,4,5,3,3,1,25,61,North - East,"Garden/Park, Pool, Main Road",8.9,19.012138,72.849457
1163,3,4,1,1,0,17,22,East,Garden/Park,3.7,19.1135137306472,72.9005669199916
889,3,2,0,2,0,12,27,East,"Garden/Park, Main Road",2.83,19.140335,72.8647155
884,2,3,0,2,0,31,75,,,3.8,19.016666412353516,72.81666564941406
297,1,1,0,2,0,4,4,North,,0.6,19.24298667907715,72.8477783203125
677,2,2,1,2,0,9,20,East,Garden/Park,2.25,19.119198,72.894366
889,3,2,0,2,0,18,27,North - East,"Pool, Garden/Park",3.04,19.140335,72.8647155
624,2,2,1,1,1,,,,,1.58,19.058647,72.879248
686,2,2,1,1,1,,,,,1.72,19.058647,72.879248
517,1,1,0,1,1,22,22,North - West,Garden/Park,0.99,19.1568879,72.9406028
800,2,2,0,2,0,4,4,East,,3.0,19.037172317504883,72.85694885253906
605,2,2,2,1,1,3,39,East,"Garden/Park, Main Road",1.38,19.207601,72.879171
410,1,1,1,2,0,4,10,East,"Garden/Park, Main Road",1.05,19.206378936767578,72.86567687988281
636,2,2,0,1,1,6,31,,,1.59,19.0335005026266,72.8956514864223
706,2,2,1,1,1,9,13,East,"Pool, Garden/Park, Main Road",3.0,19.0733903,72.8654319
66,2,2,0,1,1,,,,,1.94,19.1865386181796,72.832627073639
90,3,3,0,1,1,,,,,2.56,19.1865386181796,72.832627073639
555,2,2,0,3,1,2,7,East,Garden/Park,1.45,72.83919525146484,19.233531951904297
1932,4,5,0,1,0,,,East,"Garden/Park, Pool, Main Road",6.25,19.1210474171554,72.9175910576415
1400,3,3,1,1,1,,,,,4.9,19.0038320445835,72.8505157603601
468.0,1,2,1,1,0,9,15,,"Pool, Garden/Park",0.28,19.26831,73.157088
430,1,1,2,1,1,5,30,East,"Garden/Park, Main Road",1.17,19.0374763,72.907209
755,2,2,2,2,0,4,6,East,Main Road,2.95,19.112342834472656,72.84370422363281
600.0,2,2,0,1,0,7,11,East,Main Road,2.1,19.075376510620117,72.86631774902344
600.0,2,2,0,1,0,3,11,,,2.15,19.081470489501953,72.86251068115234
480,1,2,1,1,1,,,,,0.96,19.203436,72.8210452
669,2,2,1,1,1,,,,,1.47,19.203436,72.8210452
863,3,2,1,2,0,5,27,North - East,"Garden/Park, Main Road",2.84,19.140335,72.8647155
889,3,2,1,2,0,6,27,North - West,"Garden/Park, Pool",3.1,19.140335,72.8647155
891,3,2,1,2,0,20,27,North - West,"Garden/Park, Pool",3.28,19.140335,72.8647155
891,3,2,1,2,0,16,27,South - East,"Garden/Park, Pool",3.16,19.140335,72.8647155
891,3,2,1,2,0,3,27,North - East,"Garden/Park, Main Road",2.81,19.140335,72.8647155
1652.0,4,4,0,1,0,34,46,North - East,"Garden/Park, Main Road",4.75,19.1547839,72.8540607
658,2,2,1,1,1,14,24,East,"Garden/Park, Pool",1.53,19.136857986450195,72.81160736083984
784,2,2,1,1,1,4,20,East,"Garden/Park, Pool, Main Road",1.62,19.17298506,72.86975392
1084,3,3,1,1,1,5,45,East,"Garden/Park, Main Road",2.73,19.133092,72.93475
889,3,2,2,2,0,16,27,North - East,"Garden/Park, Main Road",3.12,19.140335,72.8647155
1889,4,4,2,2,0,6,40,North - East,Garden/Park,6.15,19.029439,72.879259
830,2,2,1,1,0,14,16,West,Main Road,2.85,19.18159496,72.84697656
992.0,2,2,0,3,0,3,16,,,3.75,19.0047958110499,72.8413655976486
2250,4,4,2,3,0,18,23,East,"Garden/Park, Pool, Main Road",12.81,19.14420344,72.82042891
750,3,3,1,2,1,3,20,East,"Garden/Park, Main Road",1.8,19.17298506,72.86975392
750,3,3,0,2,0,4,7,North - East,"Garden/Park, Main Road",1.8,19.20999526977539,72.86675262451172
887,2,2,1,1,0,6,6,North,,2.25,19.142553329467773,72.81009674072266
63.2,2,2,1,1,0,10,15,East,Garden/Park,3.3,19.0937492,72.922604
410,,1,0,1,0,12,21,,,2.5,18.96370506286621,72.8061294555664
1100,3,3,1,1,1,4,4,East,Main Road,4.62,19.10210609436035,72.8520736694336
721,2,2,0,1,1,4,11,East,"Garden/Park, Main Road",1.99,19.216476,72.837834
2700,4,5,0,2,0,11,28,,,22.0,18.957151412963867,72.79988098144531
290,1,1,0,2,0,4,4,North,Garden/Park,0.65,19.17950439453125,72.8611831665039
649,2,2,2,1,1,7,28,East,"Garden/Park, Pool, Main Road",2.0,19.098074,72.91985
300,1,1,0,1,0,0,7,West,"Garden/Park, Main Road",0.85,19.140512466430664,72.84215545654297
48.0,2,2,1,1,1,1,15,,,1.95,19.096202,72.919057
1112,3,3,1,2,1,,,,,3.09,19.1652117,72.84252912
1590,3,3,1,1,1,14,42,East,"Garden/Park, Pool, Main Road",8.32,19.0053322,72.829674
370,1,2,0,2,0,0,4,East,,1.2,19.126712799072266,72.82408142089844
305,1,2,1,1,0,,,East,"Garden/Park, Main Road",0.51,19.202478408813477,72.82311248779297
436,1,2,0,1,0,15,21,East,Garden/Park,0.86,19.177555,72.849887
220,1,1,0,1,0,2,2,North - East,Main Road,0.92,19.062755584716797,72.85449981689453
765,2,2,1,1,1,10,33,East,"Garden/Park, Pool, Main Road",1.69,19.149089,72.836862
573,2,2,1,2,1,,,East,"Garden/Park, Pool, Main Road",1.37,19.1557975,72.8497677
800,3,3,0,1,0,3,21,East,"Pool, Garden/Park, Main Road",1.95,19.227331161499023,72.86373138427734
480,1,1,0,2,0,7,7,East,"Garden/Park, Main Road",0.265,19.36259937,72.863751
476,1,1,0,2,0,2,6,,Garden/Park,0.4,19.450505,72.7960113
1600,4,4,1,1,0,6,11,North - East,,4.63,19.061405,72.900648
830,3,3,2,2,0,7,42,East,"Garden/Park, Main Road",1.8,19.1476838975787,72.9345592459361
723,2,2,1,1,1,5,22,North - West,Garden/Park,1.75,19.16391944885254,72.86087036132812
1320,4,4,3,3,1,4,4,West,Main Road,5.25,72.84517669677734,19.029010772705078
225,1,1,0,1,0,7,7,East,,0.62,19.062755584716797,72.85449981689453
1180,3,3,1,2,0,15,18,East,"Garden/Park, Main Road",2.75,19.1763894941309,72.8607586572769
728,2,2,3,3,0,4,7,South - East,Main Road,5.0,19.11935806274414,72.86463165283203
344.0,1,1,0,3,0,1,4,,,1.2,19.032798767089844,72.89635467529297
926,2,2,1,1,1,17,33,East,"Garden/Park, Pool, Main Road",2.7,19.157233,72.84055
835,2,2,2,1,1,30,50,West,"Pool, Garden/Park, Main Road",5.91,18.99706,72.818401
340,1,1,0,1,1,,,,,0.925,19.1337652,19.13376523
1900,5,4,3,2,1,17,18,West,"Garden/Park, Pool",8.75,19.0937492,72.922604
330,1,2,10,1,1,,,East,Garden/Park,0.215,19.364675521850586,72.86224365234375
892.0,2,2,0,1,1,7,16,North,"Garden/Park, Pool, Main Road",1.6,19.068050384521484,72.89604949951172
416,1,2,1,1,1,3,14,North - West,"Garden/Park, Main Road",0.33799999999999997,19.4715847,72.80535875
1200,3,3,2,1,1,3,11,East,"Garden/Park, Pool, Main Road",3.8,19.1182727,72.8572813
540,1,1,0,1,0,2,4,,,0.25,19.459598541259766,72.81642150878906
863,3,2,0,2,0,18,27,North - East,"Pool, Garden/Park",3.05,19.140335,72.8647155
624,2,2,0,1,1,9,16,East,"Garden/Park, Main Road",1.5,19.0570479,72.8847716
461,1,2,1,2,1,9,18,East,"Garden/Park, Main Road",1.0,19.0570479,72.8847716
713,2,2,1,1,1,25,35,East,"Garden/Park, Pool, Main Road",1.95,19.169705,72.853001
542,2,2,0,1,1,,,,,1.08,19.115395,72.9323565
820,2,2,1,1,1,6,7,East,"Garden/Park, Main Road",2.35,19.109651931119,72.8596945935289
1000,3,3,3,2,0,9,35,South -West,Garden/Park,3.3,19.1700134,72.8646545
800,2,2,0,3,1,11,20,East,"Main Road, Garden/Park",1.95,19.210841,72.8755987441594
980,3,3,1,1,1,25,35,East,"Garden/Park, Pool, Main Road",2.85,19.169705,72.853001
1158,3,2,2,1,1,31,64,East,"Garden/Park, Pool, Main Road",5.5,18.973263,72.832355
1485,4,3,2,1,1,31,65,East,"Garden/Park, Pool, Main Road",6.9,18.973263,72.832355
851,2,2,1,1,1,15,64,East,"Garden/Park, Pool, Main Road",2.7,18.973263,72.832355
450,2,2,2,2,1,1,18,South -West,"Garden/Park, Main Road",1.0,19.0570479,72.8847716
661,2,2,2,2,1,1,18,North - West,"Garden/Park, Main Road",1.48,19.0570479,72.8847716
438,1,2,2,2,1,8,16,East,"Garden/Park, Main Road",1.0,19.0570479,72.8847716
916,3,2,1,2,0,2,15,East,"Garden/Park, Main Road",2.6,19.064842224121094,72.88958740234375
370,1,2,0,3,0,4,4,,Main Road,0.72,19.25393295288086,72.86724853515625
395,1,2,1,2,0,,,East,Main Road,0.24,19.430261611938477,72.81269836425781
662,2,2,3,2,1,10,16,East,"Garden/Park, Main Road",1.5,19.0570479,72.8847716
528.8,2,2,1,2,1,,,,,1.75,19.1595755,72.9465747
544,2,2,1,1,1,9,17,East,"Garden/Park, Pool, Main Road",1.35,19.083399,72.91521
458,1,2,1,1,0,12,23,North,Main Road,0.98,19.219436645507812,72.86719512939453
2100,4,5,2,2,0,39,64,North - West,"Main Road, Pool, Garden/Park",7.21,19.012138,72.849457
881,2,2,1,1,1,17,33,East,"Garden/Park, Pool, Main Road",2.7,19.157233,72.84055
990,2,2,2,1,1,6,30,East,"Garden/Park, Pool, Main Road",2.3,19.1032127,72.9275205
1267,4,4,1,1,1,10,21,East,"Garden/Park, Pool, Main Road",3.96,19.172168,72.846894
718,2,2,0,1,1,13,23,East,"Pool, Garden/Park, Main Road",1.46,19.18897247314453,72.82200622558594
719,2,2,0,1,1,10,23,East,"Garden/Park, Pool, Main Road",1.35,19.2018545,72.815272
918,3,3,0,1,1,13,23,East,"Pool, Garden/Park, Main Road",1.9,19.18897247314453,72.82200622558594
860,3,3,0,1,0,6,7,East,Main Road,2.25,19.233531951904297,72.83919525146484
630,2,2,0,1,0,1,7,North - East,"Garden/Park, Main Road",1.65,19.0531623,72.8889064
800,2,2,1,2,0,5,26,East,"Garden/Park, Main Road",2.1,19.1738042,72.873797
1300,3,3,2,3,0,1,26,East,"Garden/Park, Main Road",3.1,19.1738042,72.873797
684.8,2,2,1,1,1,9,13,North - East,"Garden/Park, Main Road",1.5,19.05013656616211,72.88745880126953
960,3,3,2,1,1,5,23,East,"Garden/Park, Main Road",1.87,19.202228546142578,72.81526947021484
540,1,1,0,1,0,2,4,,,0.25,19.459598541259766,72.81642150878906
485,1,1,0,1,0,3,3,East,"Garden/Park, Main Road",0.38,19.27831268310547,72.85801696777344
1080,3,3,1,1,0,7,12,East,Garden/Park,2.75,19.136784,72.863859
720,2,1,0,1,0,2,4,,Main Road,0.62,19.27831268310547,72.85801696777344
535,1,1,0,1,1,3,7,,,0.27,19.459598541259766,72.81642150878906
1034,3,3,1,1,1,21,55,East,,2.65,19.2248756,72.863143
600,2,2,0,1,1,12,21,East,"Garden/Park, Main Road",1.32,19.203436,72.8210452
457,1,2,0,1,1,18,21,East,"Pool, Garden/Park, Main Road",0.914,19.203436,72.8210452
1057,3,3,1,2,1,2,11,West,Main Road,3.09,19.053103,72.910448
600.0,2,2,1,3,0,4,15,,Garden/Park,1.85,19.183937072753906,72.94956970214844
950,3,3,0,3,0,20,28,North,"Garden/Park, Main Road",2.95,19.218041,72.8717202
247,1,2,1,1,1,1,18,,,0.49,19.192054,72.867136
458,1,1,0,1,0,4,4,West,"Garden/Park, Main Road",0.97,19.220380783081055,72.85183715820312
454,1,1,0,1,1,3,4,South,,0.5,19.30939292907715,72.84859466552734
1062,2,2,0,3,0,23,35,North,"Garden/Park, Pool",5.9,18.98142,72.83045
700,2,2,1,1,1,,,East,"Garden/Park, Main Road",1.65,19.067729949951172,72.89631652832031
730,2,2,0,2,1,,,East,"Garden/Park, Pool, Main Road",1.87,19.07082176208496,72.90450286865234
739,2,2,1,1,0,2,42,East,"Garden/Park, Pool",3.5,18.982164,72.827559
415,1,1,1,1,0,3,7,West,Main Road,1.22,19.2498347974824,72.8540743147886
420,1,1,0,1,0,5,8,,,1.35,19.062755584716797,72.85449981689453
728,2,2,1,2,1,,,,,1.8,19.220761,72.858095
535,2,2,0,1,1,,,,,1.07,19.115395,72.9323565
719,3,2,0,1,1,,,,,1.43,19.115395,72.9323565
985,2,2,2,2,0,29,45,East,"Garden/Park, Pool, Main Road",2.5,19.17100978,72.87098943
780.8,3,3,1,1,1,,,,,2.7,19.0856,72.909277
1200,3,2,1,2,0,2,6,South -West,Main Road,5.0,19.0559409,72.8231014
900,3,3,1,2,0,9,12,North - West,Main Road,3.25,19.07658768,72.86424255
680,2,1,1,3,0,4,6,East,"Garden/Park, Main Road",0.7,19.279057571169,72.8710168169815
775,2,2,1,1,1,7,36,North - East,"Garden/Park, Pool, Main Road",1.9,19.1549192106419,72.8435657622205
